"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"DPYSL2","ENSG00000092964","DPYSL2",-0.622098877375109,0.00106795870475837,0.566177185624411,1,"dihydropyrimidinase like 2","NO","NO"
"DPYSL3","ENSG00000113657","DPYSL3",-0.0175955369856293,0.939191973840999,0.663263421081186,6,"dihydropyrimidinase like 3","NO","NO"
"DRAM1","ENSG00000136048","DRAM1",0.252580164265183,0.614305838107198,-1.36159348888142,1,"DNA damage regulated autophagy modulator 1","NO","NO"
"DSC3","ENSG00000134762","DSC3",-0.121088487491712,0.690834428132469,1.35789907780153,1,"desmocollin 3","NO","NO"
"DSG2","ENSG00000046604","DSG2",-0.0730504657140205,0.622720579900081,1.48564902095603,1,"desmoglein 2","NO","NO"
"DST","ENSG00000151914","DST",0.112572167592933,0.639440769626538,0.320452685601767,5,"dystonin","NO","NO"
"DTD1","ENSG00000125821","DTD1",0.0524384667747162,0.728554100044443,1.01546637970285,1,"D-aminoacyl-tRNA deacylase 1","NO","NO"
"DTNA","ENSG00000134769","DTNA",-0.0028855979483513,0.993353071945043,1.24556555120741,1,"dystrobrevin alpha","NO","NO"
"DTNBP1","ENSG00000047579","DTNBP1",-0.168437391037688,0.29771460709054,-1.10879683379248,1,"dystrobrevin binding protein 1","NO","NO"
"DTWD2","ENSG00000169570","DTWD2",-0.126367686797359,0.588395923043967,1.3072027158149,1,"DTW domain containing 2","NO","NO"
"DTX3L","ENSG00000163840","DTX3L",-0.159076768730605,0.482977318930074,-1.20640072783954,1,"deltex E3 ubiquitin ligase 3L","NO","NO"
"DUS4L","ENSG00000105865","DUS4L",0.0327417806570947,0.865297464250767,1.33906139769,2,"dihydrouridine synthase 4 like","NO","NO"
"DUSP10","ENSG00000143507","DUSP10",-0.368987281830592,0.674167126739317,-1.29624277163609,3,"dual specificity phosphatase 10","NO","NO"
"DUSP22","ENSG00000112679","DUSP22",0.0288113885521013,0.88405669543796,1.13526612785683,1,"dual specificity phosphatase 22","NO","NO"
"DUSP23","ENSG00000158716","DUSP23",-0.00153064287658866,0.994809457605014,-1.30724429649303,2,"dual specificity phosphatase 23","NO","NO"
"DUSP28","ENSG00000188542","DUSP28",-0.0490550147921462,0.822123301557194,-1.45167161001894,1,"dual specificity phosphatase 28","NO","NO"
"DUSP4","ENSG00000120875","DUSP4",-0.187164263349458,0.465326055295854,1.01358449583505,2,"dual specificity phosphatase 4","NO","NO"
"DUSP5","ENSG00000138166","DUSP5",-0.144811057241212,0.780059638285894,-0.184597150496805,2,"dual specificity phosphatase 5","NO","NO"
"DUSP6","ENSG00000139318","DUSP6",-0.0967412573436075,0.730221213399342,0.795280373194051,1,"dual specificity phosphatase 6","NO","NO"
"DUT","ENSG00000128951","DUT",0.063408236428419,0.805149704965091,0.350557255575548,2,"deoxyuridine triphosphatase","NO","NO"
"DYNC1I2","ENSG00000077380","DYNC1I2",-0.0478064311787758,0.770627462109306,0.814897002800769,1,"dynein cytoplasmic 1 intermediate chain 2","NO","NO"
"DYNC2H1","ENSG00000187240","DYNC2H1",0.0694213773555283,0.864260575471746,-1.14735481796504,1,"dynein cytoplasmic 2 heavy chain 1","NO","NO"
"DYNC2LI1","ENSG00000138036","DYNC2LI1",0.25049937307314,0.274370622102179,1.04130895380151,1,"dynein cytoplasmic 2 light intermediate chain 1","NO","NO"
"DYRK1A","ENSG00000157540","DYRK1A",-0.0850844751938116,0.603710377642496,0.53207612033739,3,"dual specificity tyrosine phosphorylation regulated kinase 1A","NO","NO"
"DYRK2","ENSG00000127334","DYRK2",-0.0662029809319193,0.728914379852868,-1.36923467249792,2,"dual specificity tyrosine phosphorylation regulated kinase 2","NO","NO"
"DYSF","ENSG00000135636","DYSF",-0.251354908728166,0.640704221070097,1.4504556836627,2,"dysferlin","NO","NO"
"DZIP1L","ENSG00000158163","DZIP1L",0.0384732459934805,0.888837403508046,-0.0341933584076249,2,"DAZ interacting zinc finger protein 1 like","NO","YES"
"DZIP3","ENSG00000198919","DZIP3",-0.00303746116705828,0.984227775759171,0.72145719858128,4,"DAZ interacting zinc finger protein 3","NO","NO"
"E2F5","ENSG00000133740","E2F5",0.129931834040427,0.472531911789309,0.693933887080486,2,"E2F transcription factor 5","NO","YES"
"E2F8","ENSG00000129173","E2F8",0.011702115084987,0.978913096424023,1.74845786844569,1,"E2F transcription factor 8","NO","YES"
"E4F1","ENSG00000167967","E4F1",-0.0269517009264568,0.897991579620502,-0.870918546160985,1,"E4F transcription factor 1","NO","YES"
"EARS2","ENSG00000103356","EARS2",0.120604912082218,0.634696230483984,1.39876247766877,1,"glutamyl-tRNA synthetase 2, mitochondrial","NO","NO"
"EBAG9","ENSG00000147654","EBAG9",-0.0821809335060699,0.652928391090347,-1.21436949486645,1,"estrogen receptor binding site associated antigen 9","NO","NO"
"EBI3","ENSG00000105246","EBI3",0.724799384325582,0.417695756699959,1.12123408762451,1,"Epstein-Barr virus induced 3","NO","NO"
"ECE1","ENSG00000117298","ECE1",-0.110205890930698,0.638406462661769,1.18121980880438,1,"endothelin converting enzyme 1","NO","NO"
"ECHDC1","ENSG00000093144","ECHDC1",-0.0319656936495427,0.876871915783909,0.864198724105864,1,"ethylmalonyl-CoA decarboxylase 1","NO","NO"
"ECHDC3","ENSG00000134463","ECHDC3",0.191114811748365,0.510774781619595,0.703969789207296,1,"enoyl-CoA hydratase domain containing 3","NO","NO"
"ECI2","ENSG00000198721","ECI2",-0.0670988244299799,0.758760891959506,0.925233047514622,1,"enoyl-CoA delta isomerase 2","NO","NO"
"ECT2","ENSG00000114346","ECT2",-0.0582730106398257,0.8026067201321,-1.48964340474612,2,"epithelial cell transforming 2","NO","NO"
"EDA","ENSG00000158813","EDA",0.00400548290662295,0.983856308204198,0.832711632514095,1,"ectodysplasin A","NO","YES"
"EDARADD","ENSG00000186197","EDARADD",-0.114911077509006,0.702985484304733,1.09413780948189,1,"EDAR associated via death domain","NO","NO"
"EDC4","ENSG00000038358","EDC4",-0.096083137420421,0.626091986300406,1.20141917788263,1,"enhancer of mRNA decapping 4","NO","NO"
"EDEM1","ENSG00000134109","EDEM1",0.0121894710018635,0.94972549266152,-0.256445853326363,5,"ER degradation enhancing alpha-mannosidase like protein 1","NO","NO"
"EDIL3","ENSG00000164176","EDIL3",0.925244335078836,0.743018684983215,-1.39848903766892,1,"EGF like repeats and discoidin domains 3","NO","NO"
"EDN1","ENSG00000078401","EDN1",-0.555418116616585,0.301754380129925,-0.109307947251995,4,"endothelin 1","NO","YES"
"EDN2","ENSG00000127129","EDN2",0.26947598480661,0.842325560881409,1.5281168897938,1,"endothelin 2","NO","NO"
"EDRF1","ENSG00000107938","EDRF1",-0.115740635939948,0.547962671609045,-1.21938802688659,1,"erythroid differentiation regulatory factor 1","NO","NO"
"EEA1","ENSG00000102189","EEA1",-0.0795272048527274,0.717357472640245,1.31147486355562,1,"early endosome antigen 1","NO","YES"
"EEF1A1","ENSG00000156508","EEF1A1",0.052296601752337,0.870366723596519,1.07727646138861,2,"eukaryotic translation elongation factor 1 alpha 1","NO","NO"
"EEF1E1","ENSG00000124802","EEF1E1",0.0868512065225548,0.666095734184989,-1.12845361214587,2,"eukaryotic translation elongation factor 1 epsilon 1","NO","NO"
"EFCAB2","ENSG00000203666","EFCAB2",0.393688841660698,0.376496822353638,0.957489264959718,2,"EF-hand calcium binding domain 2","NO","NO"
"EFCAB5","ENSG00000176927","EFCAB5",-0.504649210910987,0.629264510419872,1.98177307801165,1,"EF-hand calcium binding domain 5","NO","NO"
"EFCC1","ENSG00000114654","EFCC1",0.238595219005586,0.404229054562568,-1.05853101068443,1,"EF-hand and coiled-coil domain containing 1","NO","NO"
"EFHB","ENSG00000163576","EFHB",0.383601803912798,0.78194361205848,0.38578347565159,1,"EF-hand domain family member B","NO","NO"
"EFL1","ENSG00000140598","EFL1",0.00545020451207634,0.977462231551003,-0.865737596538082,1,"elongation factor like GTPase 1","NO","NO"
"EFNA1","ENSG00000169242","EFNA1",0.10672056345863,0.556513085648854,1.34302370240656,1,"ephrin A1","NO","NO"
"EFNB1","ENSG00000090776","EFNB1",-0.315757168470779,0.139586500232285,1.77477569913721,1,"ephrin B1","NO","NO"
"EFNB2","ENSG00000125266","EFNB2",0.116434491108333,0.78001266316453,0.779903844856951,1,"ephrin B2","NO","NO"
"EFR3A","ENSG00000132294","EFR3A",0.0915607719176057,0.747246028839998,-0.727095782929264,6,"EFR3 homolog A","NO","NO"
"EGFR","ENSG00000146648","EGFR",-0.0818594947119795,0.806524552393361,-1.45713832350007,2,"epidermal growth factor receptor","NO","NO"
"EGR2","ENSG00000122877","EGR2",0.0889395387344427,0.875408408828874,1.05449216533057,2,"early growth response 2","NO","YES"
"EHD2","ENSG00000024422","EHD2",-0.092894294982286,0.71525933898896,0.15712632596811,2,"EH domain containing 2","NO","NO"
"EHD3","ENSG00000013016","EHD3",0.167347233946891,0.944661454204636,0.036067045910535,2,"EH domain containing 3","NO","NO"
"EHD4","ENSG00000103966","EHD4",-0.0348667270694643,0.832130625310671,-1.17245729058346,1,"EH domain containing 4","NO","NO"
"EHF","ENSG00000135373","EHF",-0.246148245121094,0.713073300462013,-1.17923699290121,1,"ETS homologous factor","NO","YES"
"EID1","ENSG00000255302","EID1",0.0311798933210827,0.844304748070405,0.880602917682021,1,"EP300 interacting inhibitor of differentiation 1","NO","YES"
"EIF1AD","ENSG00000175376","EIF1AD",0.000426676508228141,0.998824285699411,1.07203044117022,1,"eukaryotic translation initiation factor 1A domain containing","NO","NO"
"EIF1B","ENSG00000114784","EIF1B",0.0814153654209093,0.742851304690934,-1.31986096633524,1,"eukaryotic translation initiation factor 1B","NO","NO"
"EIF2B2","ENSG00000119718","EIF2B2",0.0343210328107055,0.861258363090492,-1.25565087517723,1,"eukaryotic translation initiation factor 2B subunit beta","NO","NO"
"EIF3B","ENSG00000106263","EIF3B",-0.00350775844536422,0.986904281921747,-1.09388478811265,1,"eukaryotic translation initiation factor 3 subunit B","NO","NO"
"EIF3E","ENSG00000104408","EIF3E",0.0575104038638852,0.85769907737602,-0.430772974217602,2,"eukaryotic translation initiation factor 3 subunit E","NO","NO"
"EIF3F","ENSG00000175390","EIF3F",0.0126832218877828,0.963967639261295,1.2096488956943,1,"eukaryotic translation initiation factor 3 subunit F","NO","NO"
"EIF3M","ENSG00000149100","EIF3M",0.0835108760337162,0.656877542625759,1.87025000238303,1,"eukaryotic translation initiation factor 3 subunit M","NO","NO"
"EIF4E2","ENSG00000135930","EIF4E2",-0.0560275719166627,0.731471191905278,-1.10453979412268,1,"eukaryotic translation initiation factor 4E family member 2","NO","NO"
"EIF4E3","ENSG00000163412","EIF4E3",0.100839844746633,0.677835847458782,-0.249086285378822,2,"eukaryotic translation initiation factor 4E family member 3","NO","NO"
"EIF4G1","ENSG00000114867","EIF4G1",-0.124304392549893,0.628801653101414,0.881486246460409,1,"eukaryotic translation initiation factor 4 gamma 1","NO","NO"
"EIF6","ENSG00000242372","EIF6",0.0979612176647038,0.581281379629653,1.36061552250518,2,"eukaryotic translation initiation factor 6","NO","NO"
"ELAC2","ENSG00000006744","ELAC2",0.0431962953016125,0.815257362267382,1.22511665371518,1,"elaC ribonuclease Z 2","NO","NO"
"ELF2","ENSG00000109381","ELF2",-0.168856608796685,0.397757118753263,-1.3733767468412,1,"E74 like ETS transcription factor 2","NO","YES"
"ELF3","ENSG00000163435","ELF3",-0.0566138279626411,0.807562012461755,-2.07304440510342,1,"E74 like ETS transcription factor 3","NO","YES"
"ELFN1","ENSG00000225968","ELFN1",0.201701160858521,0.564983346133838,-1.7248400808896,1,"extracellular leucine rich repeat and fibronectin type III domain containing 1","NO","NO"
"ELMO1","ENSG00000155849","ELMO1",-1.04544709258778,0.336723635441416,-0.219955075749043,3,"engulfment and cell motility 1","NO","NO"
"ELMO2","ENSG00000062598","ELMO2",-0.244354989736221,0.178588732774817,1.58925726995451,1,"engulfment and cell motility 2","NO","NO"
"ELMOD1","ENSG00000110675","ELMOD1",0.145177558542355,0.598629471843619,0.882146750877546,1,"ELMO domain containing 1","NO","NO"
